Address,SBL #,Sale Price,Sale Date,Total Assessed Value,Property Type Building Style,Lot Size,Year Built,SQFT,Bedrooms-Baths-Fireplaces
"110 AMBER, Buffalo",133.46-2-32,"$63,400 ",9/30/2014,"$50,000 ",Residential - 1 Family Res,30 x 127,1920,"1,334",3/1/2001
"510 OGDEN SOUTH, Buffalo",123.27-2-9,"$33,000 ",10/1/2014,"$64,900 ",Residential - 1 Family Res,42 x 113,1922,"1,905",6/2/2000
"125 WEAVER, Buffalo",123.27-1-15,"$33,000 ",10/1/2014,"$43,200 ",Residential - 2 Family Res,30 x 113,1920,"2,333",4/2/2000
"43 PULASKI, Buffalo",123.34-5-27,"$59,000 ",10/1/2014,"$51,000 ",Residential - 1 Family Res,30 x 85,1910,"1,186",3/1/2000
"17 EVADENE, Buffalo",79.38-7-1,"$87,000 ",10/1/2014,"$53,000 ",Residential - 1 Family Res,48.7 x 100,1930,917,3 / 2.5 / 0
"194 ADMIRAL, Buffalo",78.59-3-25,"$255,000 ",10/1/2014,"$190,000 ",Residential - 1 Family Res,40 x 135,1926,"2,071",3 / 1.5 / 1
"118 SARANAC, Buffalo",78.65-2-8,"$202,000 ",10/1/2014,"$142,000 ",Residential - 2 Family Res,33.33 x 175,1927,"2,464",4/2/2000
"292 LEXINGTON, Buffalo",100.37-8-5,"$280,000 ",10/2/2014,"$150,000 ",Residential - 2 Family Res,35 x 140,1890,"3,816",4/3/2000
"46 DAVIDSON, Buffalo",90.33-8-21,"$36,800 ",10/2/2014,"$38,600 ",Residential - 1 Family Res,35 x 105,1925,"1,205",3/1/2000
"137 COMMONWEALTH, Buffalo",78.64-3-29,"$184,900 ",10/2/2014,"$107,000 ",Residential - 1 Family Res,40 x 144,1926,"1,747",4/2/2000
"149 MIDDLESEX, Buffalo",89.06-9-15,"$953,000 ",10/3/2014,"$815,000 ",Residential - 1 Family Res,85 x 200,1934,"6,237",7/5/2004
"67 PARKDALE, Buffalo",99.27-5-30,"$26,000 ",10/3/2014,"$27,000 ",Residential - 1 Family Res,24.03 x 82.21,1900,997,2 / 1.5 / 0
"74 ALBERT, Buffalo",77.58-2-34,"$63,000 ",10/3/2014,"$50,500 ",Residential - 1 Family Res,40 x 100,1952,"1,183",3 / 1.5 / 0
"176 CRYSTAL, Buffalo",133.39-5-28,"$57,500 ",10/3/2014,"$44,900 ",Residential - 2 Family Res,36.5 x 155,1920,"1,358",3/2/2000
"56 KOESTER, Buffalo",133.30-1-24,"$49,508 ",10/3/2014,"$46,000 ",Residential - 2 Family Res,34 x 100,1900,"1,760",6/2/2000
"208 LEXINGTON, Buffalo",100.37-4-5,"$350,000 ",10/3/2014,"$165,600 ",Residential - 2 Family Res,40 x 140,1900,"3,316",6/2/2000
"11 DALLAS, Buffalo",133.71-6-1,"$95,000 ",10/3/2014,"$68,100 ",Residential - 1 Family Res,84.18 x 165,1960,"1,232",3/1/2000
"18 ELLER, Buffalo",101.43-3-16,"$17,000 ",10/3/2014,"$17,000 ",Residential - 1 Family Res,30 x 110,1918,"1,142",3/1/2000
"377 HERKIMER, Buffalo",88.75-7-32,"$40,000 ",10/3/2014,"$27,000 ",Residential - 1 Family Res,30 x 132,1900,"1,308",3/1/2000
"45 KNOX, Buffalo",78.79-2-8,"$101,000 ",10/3/2014,"$105,000 ",Residential - 1 Family Res,38 x 135,1959,"1,590",3 / 1.5 / 0
"124 KNOX, Buffalo",78.80-1-39,"$134,900 ",10/3/2014,"$104,000 ",Residential - 1 Family Res,38 x 151,1955,"1,639",4/2/2000
"53 WILKES, Buffalo",90.75-1-46,"$35,000 ",10/3/2014,"$47,000 ",Residential - 1 Family Res,31 x 132,1924,"1,320",3/1/2000
"114 BRINTON, Buffalo",79.37-5-6,"$125,000 ",10/6/2014,"$59,000 ",Residential - 2 Family Res,33 x 117,1925,"1,498",4/2/2000
"31 BARNARD, Buffalo",123.58-3-10,"$87,500 ",10/6/2014,"$70,000 ",Residential - 1 Family Res,60 x 100,1920,"1,530",3/2/2001
"172 BERKSHIRE, Buffalo",90.24-1-36,"$55,000 ",10/6/2014,"$47,700 ",Residential - 2 Family Res,35 x 102,1920,"1,891",4/2/2000
"22 GUNNELL, Buffalo",78.42-3-14,"$88,000 ",10/6/2014,"$50,000 ",Residential - 1 Family Res,40 x 120,1940,893,3/1/2000
"329 ELMWOOD, Buffalo",100.62-1-35,"$375,000 ",10/6/2014,"$314,000 ",Commercial - Det row bldg,55 x 200,,,
"164 BRUNSWICK, Buffalo",100.27-3-56,"$33,000 ",10/6/2014,"$30,000 ",Residential - 2 Family Res,35 x 110,1921,"2,484",6/2/2000
"31 GROVELAND, Buffalo",79.53-2-26,"$132,900 ",10/7/2014,"$108,000 ",Residential - 1 Family Res,36 x 115,1920,"1,720",3 / 1.5 / 1
"80 PHILADELPHIA, Buffalo",77.42-1-32,"$68,000 ",10/7/2014,"$59,000 ",Residential - 2 Family Res,30 x 140,1924,"2,010",4/2/2000
"73 GLENWOOD, Buffalo",100.48-1-17,"$20,000 ",10/7/2014,"$37,300 ",Commercial - Det row bldg,50 x 102,,,
"770 FERRY WEST, Buffalo",100.30-2-11./10B,"$106,400 ",10/8/2014,"$34,410 ",Commercial - Apartment,2 x 491.5,1973,612,1/1/2000
"1206 DELAVAN EAST, Buffalo",90.73-4-24,"$25,000 ",10/8/2014,"$49,000 ",Residential - 1 Family Res,51 x 115,1950,"1,296",2 / 1.5 / 0
"380 WINSPEAR, Buffalo",79.65-1-6,"$84,900 ",10/8/2014,"$44,300 ",Residential - 1 Family Res,30 x 125,1958,"1,365",2 / 1.5 / 0
"481 FRANKLIN, Buffalo",100.78-4-34.1,"$750,000 ",10/8/2014,"$800,000 ",Commercial - Apartment,156 x 123,,,
"32 LARK, Buffalo",100.36-1-10,"$30,000 ",10/8/2014,"$25,500 ",Residential - 2 Family Res,30 x 131,1925,"2,288",6/2/2000
"315 ABBY, Buffalo",123.77-8-32,"$53,191 ",10/8/2014,"$19,100 ",Residential - 1 Family Res,30 x 142,1900,"1,590",3 / 1.5 / 1
"174 CHICAGO, Buffalo",122.31-1-8,"$85,000 ",10/9/2014,"$11,900 ",Commercial - Other Storage,87 x 133,,,
"26 HUNT, Buffalo",77.65-1-23,"$32,000 ",10/9/2014,"$25,000 ",Residential - 1 Family Res,30 x 120,1900,"1,446",4/2/2000
"634 KENMORE, Buffalo",78.44-2-4,"$172,000 ",10/9/2014,"$150,000 ",Commercial - Apartment,85 x 126,,,
"249 LAKEFRONT, Buffalo",110.59-1-31,"$345,000 ",10/9/2014,"$210,000 ",Residential - 1 Family Res,25 x 46.33,1986,"1,700",2 / 2.5 / 1
"80 TENTH, Buffalo",110.28-7-21,"$109,000 ",10/10/2014,"$35,000 ",Residential - 2 Family Res,30 x 100,1900,"1,890",6/2/2000
"829 BIRD, Buffalo",89.63-4-23,"$359,900 ",10/10/2014,"$130,000 ",Residential - 1 Family Res,34.5 x 105,1912,"2,536",3 / 2.5 / 0
"391 LAFAYETTE AVE, Buffalo",99.28-3-3,"$184,000 ",10/10/2014,"$128,000 ",Residential - 3 Family Res,40 x 120,1900,"2,958",5/3/2000
"324 GRANT, Buffalo",88.75-6-19,"$91,500 ",10/10/2014,"$50,000 ",Commercial - Apartment,30 x 134,,,
"145 HIGHLAND, Buffalo",100.38-1-12,"$359,900 ",10/10/2014,"$200,000 ",Residential - 1 Family Res,35 x 126,1900,"2,422",4 / 2.5 / 2
"410 SCHILLER, Buffalo",112.27-3-25,"$71,900 ",10/10/2014,"$51,000 ",Residential - 1 Family Res,45 x 129,1950,"1,264",2/1/2000
"370 BRYANT, Buffalo",100.53-1-23,"$279,000 ",10/10/2014,"$110,000 ",Commercial - Apartment,35 x 128,,,
"75 DANA, Buffalo",89.06-8-18,"$399,000 ",10/10/2014,"$330,000 ",Residential - 1 Family Res,110 x 154,1950,"3,586",3 / 3.5 / 1
"329 SOUTHSIDE, Buffalo",123.71-5-19,"$55,000 ",10/10/2014,"$290,000 ",Commercial - Apartment,109 x 135,,,
"699 BAILEY, Buffalo",123.32-2-1,"$320,000 ",10/13/2014,"$140,000 ",Commercial - Other Storage,180 x 0,,,
"690 TACOMA, Buffalo",78.67-2-4,"$160,300 ",10/13/2014,"$120,000 ",Residential - 2 Family Res,38 x 129,1925,"2,606",6/2/2000
"40 PENHURST, Buffalo",89.13-2-54,"$850,000 ",10/14/2014,"$510,000 ",Residential - 1 Family Res,60 x 150,1926,"3,796",6 / 3.5 / 1
"281 PROSPECT, Buffalo",110.28-2-30,"$60,000 ",10/14/2014,"$32,000 ",Residential - 2 Family Res,25 x 100,1860,"1,353",4/2/2000
"179 CLEVELAND AVE, Buffalo",100.22-4-18,"$325,000 ",10/14/2014,"$205,000 ",Residential - 1 Family Res,34 x 172,1912,"2,320",4 / 1.5 / 0
"37 UNGER, Buffalo",123.72-1-1,"$72,000 ",10/14/2014,"$61,800 ",Residential - 1 Family Res,44.3 x 153,1950,975,3/1/2000
"62 TREEHAVEN, Buffalo",79.67-1-13,"$137,000 ",10/14/2014,"$142,500 ",Residential - 1 Family Res,50 x 145,1953,"1,944",6 / 1.5 / 0
"11 HINES, Buffalo",133.79-1-20,"$95,000 ",10/14/2014,"$67,000 ",Residential - 1 Family Res,50 x 148,1954,"1,054",4/1/2000
"133 COLLEGE, Buffalo",100.69-3-10,"$189,900 ",10/14/2014,"$110,000 ",Residential - 2 Family Res,34.25 x 100,1910,"1,882",3/2/2000
"30 RUGBY, Buffalo",78.72-4-24,"$162,000 ",10/14/2014,"$128,000 ",Residential - 2 Family Res,35 x 130,1920,"2,835",6/2/2000
"99 MIDDLESEX, Buffalo",89.06-2-23,"$310,000 ",10/15/2014,"$190,000 ",Residential - 1 Family Res,84.95 x 173,1950,"2,836",4 / 2.5 / 1
"176 CHAPIN, Buffalo",89.70-1-36./107,"$197,000 ",10/15/2014,"$27,100 ",Commercial - Apartment,11 x 0,1985,"1,308",3/1/2000
"125 ROYAL, Buffalo",77.57-1-6,"$34,000 ",10/15/2014,"$37,000 ",Residential - 2 Family Res,25 x 63.9,1900,"1,575",4/2/2000
"97 KAIL, Buffalo",88.26-2-36,"$68,000 ",10/15/2014,"$50,000 ",Residential - 3 Family Res,50 x 100,1900,"2,152",7/3/2000
"222 GLENWOOD, Buffalo",100.41-3-15,"$35,000 ",10/15/2014,"$23,800 ",Residential - 2 Family Res,35 x 100,1900,"2,112",6/2/2000
"51 WOODBRIDGE, Buffalo",79.69-4-18,"$425,000 ",10/15/2014,"$305,000 ",Residential - 1 Family Res,70.33 x 148,1915,"3,567",4 / 3.5 / 1
"718 MCKINLEY PKWY, Buffalo",133.31-3-19,"$162,000 ",10/15/2014,"$100,600 ",Residential - 2 Family Res,42.22 x 134,1924,"2,812",6/2/2002
"4 COMMONWEALTH, Buffalo",78.72-2-29,"$191,500 ",10/15/2014,"$131,250 ",Residential - 2 Family Res,35 x 130,1940,"2,950",6/2/2000
"487 SOUTHSIDE, Buffalo",123.63-1-16,"$86,000 ",10/15/2014,"$52,000 ",Residential - 1 Family Res,42 x 123,1950,"1,080",3 / 1.5 / 0
"215 VILLA, Buffalo",78.40-2-22,"$105,900 ",10/16/2014,"$88,000 ",Residential - 1 Family Res,36.22 x 143,1925,"1,606",3 / 1.5 / 0
"12 COLLATON, Buffalo",77.64-1-32,"$62,000 ",10/16/2014,"$45,000 ",Residential - 2 Family Res,35 x 99,1935,"2,212",4/2/2000
"308 UTICA WEST, Buffalo",100.45-3-6,"$280,000 ",10/16/2014,"$130,000 ",Residential - 2 Family Res,35 x 140,1900,"2,702",5/2/2000
"1107 WILLIAM, Buffalo",112.62-1-4,"$15,000 ",10/16/2014,"$25,300 ",Residential - 2 Family Res,36 x 120,1812,"2,028",4/2/2000
"389 SANDERS, Buffalo",78.41-4-29,"$88,600 ",10/16/2014,"$78,000 ",Residential - 2 Family Res,32.75 x 125,1922,"1,804",4/2/2000
"18 EVANSTON, Buffalo",133.79-2-15,"$100,000 ",10/16/2014,"$63,400 ",Residential - 1 Family Res,46.52 x 105,1956,"1,066",3/1/2000
"146 AUBURN, Buffalo",99.26-4-24,"$33,000 ",10/16/2014,"$33,000 ",Residential - 2 Family Res,33 x 93,1880,"2,094",6/2/2000
"154 GREY, Buffalo",111.34-4-2.1,"$17,000 ",10/17/2014,"$15,200 ",Residential - 2 Family Res,53.2 x 186.5,1920,"1,281",5/2/2000
"14 EVANSTON, Buffalo",133.79-2-16,"$114,000 ",10/17/2014,"$66,900 ",Residential - 1 Family Res,40 x 105,1956,"1,104",3/1/2000
"387 SHIRLEY, Buffalo",79.81-2-4,"$35,000 ",10/17/2014,"$26,000 ",Residential - 1 Family Res,30 x 108,1922,"1,056",3/1/2000
"64 DOWNING, Buffalo",133.71-5-30,"$95,000 ",10/17/2014,"$67,100 ",Residential - 1 Family Res,35 x 105,1925,"1,496",3/1/2000
"50 ANDERSON, Buffalo",100.37-7-27,"$275,000 ",10/17/2014,"$110,000 ",Residential - 1 Family Res,33 x 140,1890,"1,952",4/2/2000
"408 ST LAWRENCE, Buffalo",78.41-3-19,"$93,000 ",10/17/2014,"$82,000 ",Residential - 2 Family Res,34.09 x 115,1930,"1,868",4/2/2000
"50 COOLIDGE, Buffalo",133.57-1-41,"$135,000 ",10/17/2014,"$103,900 ",Residential - 1 Family Res,40 x 116,1927,"1,859",2/1/2001
"230 PARKDALE, Buffalo",88.83-5-9,"$48,000 ",10/17/2014,"$43,000 ",Residential - 2 Family Res,41.35 x 30,1877,"1,782",5/2/2000
"251 MAIN, Buffalo",111.70-1-8,"$653,410 ",10/17/2014,"$4,100,000 ",Commercial - Det row bldg,56 x 0,,,
"1088 DELAWARE, Buffalo",100.39-1-32./17D,"$285,000 ",10/17/2014,"$31,800 ",Commercial - Apartment,2 x 215,1990,852,1/2/2000
"108 BARNARD, Buffalo",123.50-2-8,"$56,000 ",10/17/2014,"$56,000 ",Residential - 2 Family Res,30 x 100,1910,"1,804",4/2/2000
"141 DAVEY, Buffalo",112.51-3-45,"$44,900 ",10/20/2014,"$30,000 ",Residential - 1 Family Res,30 x 134,1900,"1,503",3/2/2000
"28 CRESTWOOD, Buffalo",78.72-3-23,"$185,500 ",10/20/2014,"$115,000 ",Residential - 2 Family Res,36 x 130,1920,"3,065",6 / 2.5 / 0
"315 HUDSON, Buffalo",99.84-6-4,"$215,000 ",10/20/2014,"$47,200 ",Residential - 2 Family Res,42.62 x 57,1920,"1,902",3/2/2000
"301 POTOMAC, Buffalo",88.75-4-4,"$54,600 ",10/20/2014,"$34,000 ",Residential - 1 Family Res,25 x 109,1900,"1,730",3/1/2000
"600 LINDEN AVE, Buffalo",78.79-1-11,"$99,500 ",10/21/2014,"$86,000 ",Residential - 1 Family Res,34 x 156,1925,"1,405",3/1/2000
"20 CENTRAL NORTH, Buffalo",112.32-5-15,"$14,000 ",10/21/2014,"$20,900 ",Residential - 2 Family Res,30 x 103,1875,"1,408",3/2/2000
"126 BUTLER, Buffalo",100.35-1-57,"$40,000 ",10/21/2014,"$42,400 ",Residential - 2 Family Res,35 x 105,1885,"2,960",6/2/2000
"98 UNIVERSITY AVE, Buffalo",79.38-6-17,"$180,000 ",10/21/2014,"$125,000 ",Residential - 1 Family Res,40 x 120,1913,"2,138",3 / 2.5 / 1
"54 SHOREHAM, Buffalo",78.62-3-16,"$115,000 ",10/21/2014,"$101,700 ",Residential - 2 Family Res,35 x 140,1930,"2,703",6/2/2000
"86 NORWALK, Buffalo",78.73-5-9,"$252,500 ",10/22/2014,"$120,400 ",Residential - 2 Family Res,40 x 155,1920,"2,718",5 / 2.5 / 0
"865 RICHMOND, Buffalo",89.61-2-33,"$178,500 ",10/22/2014,"$125,000 ",Residential - 2 Family Res,32.59 x 150,1900,"2,894",6/3/2000
"97 PIERCE SOUTH, Buffalo",123.51-6-6,"$89,500 ",10/22/2014,"$65,600 ",Residential - 1 Family Res,43 x 104,1955,"1,175",2/1/2000
"160 CLEVELAND AVE, Buffalo",100.30-1-21,"$729,000 ",10/22/2014,"$691,500 ",Residential - 1 Family Res,69.5 x 175,1928,"5,105",6 / 4.5 / 2
"234 WOOD, Buffalo",101.65-4-25,"$30,000 ",10/22/2014,"$30,800 ",Residential - 1 Family Res,30 x 100,1925,"1,092",3/1/2000
"27 SALEM, Buffalo",133.33-2-4,"$70,000 ",10/22/2014,"$76,000 ",Residential - 1 Family Res,30 x 124,1910,"1,328",3/1/2000
"393 GOLD, Buffalo",112.26-3-32,"$39,900 ",10/23/2014,"$38,000 ",Residential - 1 Family Res,30 x 134,1920,"1,229",3/1/2000
"226 POTOMAC, Buffalo",88.75-8-31,"$59,900 ",10/23/2014,"$50,000 ",Residential - 1 Family Res,33 x 160,1890,"2,198",5/2/2000
"49 CONGRESS, Buffalo",99.27-2-26,"$65,000 ",10/23/2014,"$32,600 ",Residential - 1 Family Res,30 x 135,1900,"1,672",4/1/2000
"52 RUGBY, Buffalo",78.72-4-18,"$203,000 ",10/23/2014,"$129,000 ",Residential - 2 Family Res,35 x 130,1920,"2,684",6/2/2000
"245 PLYMOUTH, Buffalo",99.67-7-23,"$78,000 ",10/23/2014,"$25,700 ",Residential - 1 Family Res,35 x 149,1857,"1,275",3/1/2000
"21 EVADENE, Buffalo",79.38-7-2,"$78,000 ",10/23/2014,"$63,000 ",Residential - 1 Family Res,35 x 100,1920,"1,307",3 / 1.5 / 0
"233 RICHMOND, Buffalo",100.53-1-19./016,"$252,000 ",10/23/2014,"$37,500 ",Commercial - Apartment,8 x 150,1994,"1,232",2/2/2000
"208 VILLA, Buffalo",78.40-1-40,"$129,000 ",10/24/2014,"$72,000 ",Residential - 1 Family Res,30 x 100,1916,"1,386",4/2/2000
"408 POTOMAC, Buffalo",88.76-4-49,"$183,000 ",10/24/2014,"$84,000 ",Residential - 2 Family Res,29 x 135,1900,"2,300",6/2/2000
"77 VILLA, Buffalo",78.39-3-1,"$125,000 ",10/24/2014,"$80,000 ",Residential - 2 Family Res,37 x 110,1915,"1,840",3/2/2000
"41 SAGAMORE, Buffalo",78.76-2-22,"$170,000 ",10/24/2014,"$110,000 ",Residential - 1 Family Res,40 x 80,1900,"1,792",4 / 1.5 / 1
"82 BRINTON, Buffalo",79.37-5-16,"$105,900 ",10/24/2014,"$82,000 ",Residential - 1 Family Res,34 x 116,1925,"1,560",3 / 1.5 / 0
"149 HAMPSHIRE, Buffalo",99.50-6-5,"$84,500 ",10/24/2014,"$45,000 ",Residential - Multiple res,36.32 x 116.5,1900,"1,702",4/2/2000
"509 VIRGINIA ST, Buffalo",111.22-8-1,"$395,000 ",10/24/2014,"$350,000 ",Residential - 1 Family Res,37.25 x 83,1850,"3,633",6 / 3.5 / 0
"299 LONGNECKER, Buffalo",112.34-2-35,"$47,000 ",10/24/2014,"$51,000 ",Residential - 1 Family Res,60 x 115,1900,"1,484",4 / 1.5 / 0
"42 BUSH, Buffalo",88.36-2-2,"$55,000 ",10/24/2014,"$40,000 ",Residential - 2 Family Res,30 x 100,1910,"1,628",4/2/2000
"14 ST ANDREWS, Buffalo",100.62-1-7,"$445,000 ",10/27/2014,"$230,000 ",Residential - 1 Family Res,22.15 x 96.83,1963,"2,080",3 / 2.5 / 1
"220 LA SALLE, Buffalo",79.71-8-28,"$53,000 ",10/27/2014,"$69,000 ",Residential - 2 Family Res,40 x 130,1926,"2,528",4/2/2000
"312 HARTWELL, Buffalo",78.47-3-32,"$186,100 ",10/27/2014,"$102,000 ",Residential - 2 Family Res,35 x 112,1920,"2,592",6/2/2000
"166 RAMSDELL, Buffalo",78.38-6-5,"$115,000 ",10/27/2014,"$88,000 ",Residential - 1 Family Res,80 x 120,1947,"1,299",4/1/2001
"19 GLENDALE, Buffalo",89.66-4-4,"$95,000 ",10/27/2014,"$92,000 ",Residential - 1 Family Res,30 x 100,1900,"1,700",6/2/2000
"115 CARLYLE, Buffalo",133.75-3-14,"$120,000 ",10/27/2014,"$94,000 ",Residential - 1 Family Res,35 x 0,1953,"1,248",3/1/2000
"132 LAKEFRONT, Buffalo",110.68-4-1./705,"$565,000 ",10/28/2014,"$507,100 ",Residential - 1 Family Res,3.5 x 317.67,2009,"1,844",2/2/2001
"290 CHOATE, Buffalo",133.49-1-24,"$110,000 ",10/28/2014,"$77,000 ",Residential - 1 Family Res,35 x 140,1950,"1,248",3/1/2000
"227 ABBY, Buffalo",133.05-4-13.12,"$60,000 ",10/28/2014,"$40,500 ",Residential - 1 Family Res,50 x 100,1996,"1,286",3 / 1.5 / 0
"54 WINSPEAR, Buffalo",79.55-4-17,"$76,000 ",10/28/2014,"$66,000 ",Residential - 1 Family Res,36 x 125,1910,"1,642",4/1/2001
"156 SELKIRK, Buffalo",122.35-2-33.1,"$71,500 ",10/28/2014,"$32,400 ",Residential - 1 Family Res,45 x 83.5,1890,"1,772",4/1/2000
"216 METCALFE, Buffalo",112.61-2-10,"$38,000 ",10/29/2014,"$29,000 ",Residential - 2 Family Res,45 x 115,1830,"1,952",6/2/2000
"37 TENTH, Buffalo",111.29-1-32.1,"$136,000 ",10/29/2014,"$70,000 ",Residential - 1 Family Res,55 x 100,1985,"1,240",2 / 1.5 / 0
"71 MARINER, Buffalo",100.77-8-12.12,"$185,000 ",10/29/2014,"$50,000 ",Residential - 1 Family Res,17.92 x 100,1992,"1,512",2 / 1.5 / 1
"134 MERRIMAC, Buffalo",79.46-10-10,"$80,000 ",10/29/2014,"$69,000 ",Residential - 1 Family Res,30 x 115,1920,"2,374",4/1/2000
"304 TAUNTON, Buffalo",78.50-1-10,"$119,000 ",10/29/2014,"$95,000 ",Residential - 2 Family Res,35 x 117,1923,"2,178",4/2/2000
"52 LEONARD, Buffalo",90.34-3-6,"$56,000 ",10/29/2014,"$52,000 ",Residential - 1 Family Res,34 x 175,1925,"1,404",4/1/2000
"48 OAKLAND, Buffalo",100.62-1-16,"$710,000 ",10/29/2014,"$369,300 ",Residential - 1 Family Res,96.77 x 52.04,1963,"3,212",4/3/2000
"47 ROESCH, Buffalo",77.40-1-3.1,"$83,000 ",10/29/2014,"$55,000 ",Residential - 1 Family Res,72.04 x 90.28,1910,"2,176",4/2/2000
"323 ESSER, Buffalo",77.34-6-18,"$65,000 ",10/30/2014,"$54,000 ",Residential - 1 Family Res,55.4 x 149,1945,"1,200",3/1/2000
"395 UTICA WEST, Buffalo",100.37-9-13,"$189,000 ",10/30/2014,"$124,900 ",Residential - 3 Family Res,25 x 140,1904,"2,228",7/4/2000
"122 PARK, Buffalo",100.69-5-14,"$235,000 ",10/30/2014,"$200,000 ",Residential - 2 Family Res,33 x 134,1870,"3,072",5/3/2000
"854 NORTHAMPTON, Buffalo",101.53-5-27.11,"$3,000 ",10/30/2014,"$1,100 ",Vacant Land - Res vac land,32 x 158,,,
"250 WELLINGTON, Buffalo",78.58-7-1,"$199,900 ",10/30/2014,"$170,000 ",Residential - 1 Family Res,39.67 x 129,1929,"1,550",3 / 1.5 / 1
"248 CRESTWOOD, Buffalo",78.56-3-8,"$109,900 ",10/30/2014,"$110,000 ",Residential - 2 Family Res,35 x 174,1920,"2,886",6/2/2000
"151 HEATH, Buffalo",79.46-2-25,"$60,000 ",10/30/2014,"$51,800 ",Residential - 1 Family Res,30 x 115,1910,948,4/1/2000
"489 TONAWANDA, Buffalo",77.81-6-21,"$26,000 ",10/30/2014,"$27,000 ",Residential - 1 Family Res,30 x 115,1900,"1,089",3/1/2000
"15 STRATFORD, Buffalo",78.55-2-33,"$139,900 ",10/30/2014,"$105,000 ",Residential - 2 Family Res,35 x 109,1925,"2,376",6/2/2000
"93 O CONNELL, Buffalo",122.48-2-3,"$80,000 ",10/30/2014,"$25,000 ",Residential - 2 Family Res,26 x 100,1925,"1,840",6/2/2000
"771 LAFAYETTE AVE, Buffalo",89.79-5-6./10F,"$160,000 ",10/30/2014,"$40,200 ",Commercial - Apartment,4 x 183,1978,"1,462",2/2/2001
"79 POMONA, Buffalo",123.65-1-21,"$59,300 ",10/31/2014,"$48,700 ",Residential - 2 Family Res,30 x 137.81,1920,"1,867",4/2/2000
"141 KOESTER, Buffalo",133.30-3-8,"$68,000 ",10/31/2014,"$54,000 ",Residential - 1 Family Res,46 x 107,1950,"1,236",3 / 1.5 / 0
"85 CRESTWOOD, Buffalo",78.72-4-56,"$130,000 ",10/31/2014,"$102,000 ",Residential - 2 Family Res,38.06 x 143,1940,"2,696",6/2/2000
"849 DELAWARE, Buffalo",100.54-3-9./105,"$115,000 ",10/31/2014,"$31,730 ",Commercial - Apartment,87.83 x 290,1961,539,1/1/2000
"10 TAFT, Buffalo",78.75-3-10,"$176,000 ",10/31/2014,"$135,000 ",Residential - 1 Family Res,38 x 80,1924,"1,834",4/1/2001
"361 PORTER, Buffalo",99.75-6-5,"$255,000 ",10/31/2014,"$135,000 ",Residential - 2 Family Res,50 x 129,1900,"3,492",6 / 3.5 / 1
"29 HARBOUR POINTE COMMO, Buffalo",110.59-2-12,"$345,000 ",10/31/2014,"$220,000 ",Residential - 1 Family Res,24 x 63,1981,"2,800",3 / 2.5 / 1
"27 TRAYMORE, Buffalo",78.72-2-38,"$189,000 ",10/31/2014,"$108,000 ",Residential - 2 Family Res,36 x 125,1920,"2,853",6/2/2000
"75 ALLEGANY, Buffalo",133.39-1-32,"$43,500 ",10/31/2014,"$47,600 ",Residential - 1 Family Res,31 x 126,1930,"1,523",4/1/2000
"800 FERRY WEST, Buffalo",100.30-4-1./2C,"$185,000 ",10/31/2014,"$29,025 ",Commercial - Apartment,2 x 388,1980,974,1 / 1.5 / 0
"67 ASHTON, Buffalo",133.71-7-16,"$79,500 ",10/31/2014,"$58,300 ",Residential - 1 Family Res,35 x 119,1925,"1,986",4 / 1.5 / 1
"14 RIPLEY, Buffalo",99.52-6-38,"$100,000 ",10/31/2014,"$32,900 ",Residential - 1 Family Res,26 x 137,1880,"1,515",3 / 1.5 / 0
"2792 MAIN, Buffalo",79.77-5-5,"$141,000 ",10/31/2014,"$155,000 ",Residential - 1 Family Res,56 x 175,1900,"2,374",4 / 1.5 / 0
"1868 SENECA, Buffalo",123.65-1-73,"$90,000 ",11/1/2014,"$75,000 ",Commercial - Det row bldg,65.04 x 116,,,
"187 CAZENOVIA, Buffalo",133.26-5-9,"$63,000 ",11/3/2014,"$60,600 ",Residential - 2 Family Res,30 x 150,1925,"2,433",4 / 2.5 / 0
"53 KAIL, Buffalo",88.35-1-22,"$20,000 ",11/3/2014,"$16,720 ",Residential - 1 Family Res,50 x 100,1900,"1,351",1/1/2000
"25 HOLLYWOOD, Buffalo",133.65-4-3,"$124,500 ",11/3/2014,"$79,800 ",Residential - 2 Family Res,42 x 0,1945,"1,807",4 / 2.5 / 0
"211 STOCKBRIDGE, Buffalo",90.24-1-16,"$29,000 ",11/3/2014,"$43,800 ",Residential - 2 Family Res,35 x 102,1920,"1,984",3/2/2000
"642 KENMORE, Buffalo",78.44-2-3,"$225,000 ",11/4/2014,"$150,000 ",Commercial - Apartment,85 x 126,,,
"115 CRESCENT, Buffalo",89.50-4-5,"$235,000 ",11/5/2014,"$143,500 ",Residential - 1 Family Res,35 x 115,1900,"2,228",4/2/2002
"441 GREENE, Buffalo",112.26-1-3.1,"$22,000 ",11/5/2014,"$45,000 ",Residential - 2 Family Res,40.5 x 156,1910,"2,184",6/2/2000
"510 NIAGARA, Buffalo",110.27-4-7,"$128,000 ",11/5/2014,"$35,000 ",Commercial - Det row bldg,55 x 132,,,
"23 HAYDEN, Buffalo",123.73-4-4,"$43,599 ",11/5/2014,"$53,000 ",Residential - 2 Family Res,30 x 110,1900,"2,506",6/2/2000
"85 HAZELWOOD, Buffalo",90.82-3-42,"$24,000 ",11/5/2014,"$28,000 ",Residential - 1 Family Res,32 x 100,1935,"1,241",5/1/2000
